Date (mm/dd/yyyy),Time,Num Satellites,Position Uncertainty (m),Latitude (Deg N),Longitude (Deg W),Speed (kts),Heading (Deg N),Course (Deg N),OCB Temp (C),port On,port rudder position, port throttle cmd,stbd On,stbd rudder position, stbd throttle cmd,Volts port,Amps port,charge (%) port,StatorTemp (C) port,PCB Temp (C) port,Error Code port,Volts stbd,Amps stbd,charge (%) stbd,StatorTemp (C) stbd,PCB Temp (C) stbd,Error Code stbd
11/20/2021,18:14:54,16,0.9,30.3029,-89.08381,1.58,65.6,85.8,49.1,1,-13,65,1,-14,255,27.3,0,78,24,23, 0x0,27.1,11.6,78,26,26, 0x0
11/20/2021,18:14:55,16,0.9,30.3029,-89.0838,1.41,52.5,74.2,49.1,1,-9,294,1,-18,332,27.3,0.4,78,24,23, 0x0,27.1,13.9,78,26,26, 0x0
11/20/2021,18:14:56,16,0.9,30.30291,-89.08379,2.04,41.9,31.8,49.1,1,-9,351,1,-22,307,26.9,23.8,78,24,23, 0x0,26.9,22,78,26,25, 0x0
11/20/2021,18:14:57,16,0.9,30.30291,-89.08379,2.17,37.1,35.6,49.1,1,-13,408,1,-18,405,26.8,26,78,24,23, 0x0,27,19.1,78,26,25, 0x0
11/20/2021,18:14:58,16,0.9,30.30293,-89.08378,2.82,32.2,39.9,49.1,1,-9,412,1,-14,412,26.8,29.5,78,24,23, 0x0,26.7,33.2,78,26,25, 0x0
11/20/2021,18:14:59,16,0.9,30.30294,-89.08377,3.39,27.4,20.8,49.1,1,139,560,1,154,267,26.6,39.7,78,24,23, 0x0,26.6,37.6,78,26,25, 0x0
11/20/2021,18:15:00,16,0.9,30.30295,-89.08376,2.81,30.1,24.3,49.1,1,316,860,1,334,220,26.6,40.8,78,24,24, 0x0,26.8,28.9,78,26,25, 0x0
11/20/2021,18:15:01,16,0.9,30.30297,-89.08376,2.78,39.2,32.7,49.1,1,413,582,1,416,582,26.5,50,78,25,25, 0x0,27.1,5.4,78,26,25, 0x0
11/20/2021,18:15:02,16,0.9,30.30298,-89.08375,3.56,44.8,25.5,49.1,1,437,554,1,428,554,26.5,50,78,25,25, 0x0,26.4,52.6,78,26,25, 0x0
11/20/2021,18:15:04,16,0.9,30.30299,-89.08374,3.23,47.2,45.8,49.1,1,406,640,1,409,640,26.4,53.1,78,25,26, 0x0,26.5,49.6,78,27,25, 0x0
11/20/2021,18:15:05,16,0.9,30.303,-89.08373,2.92,52.1,39.6,49.1,1,546,731,1,538,731,26.4,50.1,78,26,27, 0x0,26.4,48.1,78,27,26, 0x0
11/20/2021,18:15:06,16,0.9,30.30302,-89.08371,2.98,54.9,40.1,49.1,1,637,798,1,639,737,26.3,53.7,78,26,28, 0x0,26.4,52.3,78,27,26, 0x0
11/20/2021,18:15:07,16,0.9,30.30303,-89.0837,3.37,63.3,58.3,49.1,1,660,715,1,655,715,26.3,53.7,78,26,28, 0x0,26.4,53.3,78,28,27, 0x0
11/20/2021,18:15:08,16,0.9,30.30303,-89.08368,2.92,73.2,61.3,49.1,1,546,827,1,549,827,26.4,50.6,78,27,29, 0x0,26.4,50.6,78,28,27, 0x0
11/20/2021,18:15:09,16,0.9,30.30304,-89.08367,3.46,81.1,74.9,49.1,1,323,778,1,330,778,26.3,51.6,78,28,30, 0x0,26.4,52.7,78,29,28, 0x0
11/20/2021,18:15:10,16,1,30.30304,-89.08365,3.59,83.5,82.3,49.1,1,245,829,1,244,829,26.4,49.7,78,28,30, 0x0,26.4,50.6,78,29,28, 0x0
11/20/2021,18:15:11,16,1,30.30304,-89.08363,2.69,86.6,87.8,49.1,1,182,1000,1,193,1000,26.3,54.2,78,28,31, 0x0,26.3,54.3,78,29,29, 0x0
11/20/2021,18:15:12,16,0.9,30.30305,-89.08361,4.7,88.9,89.9,49.1,1,179,796,1,162,796,26.4,45.8,78,29,31, 0x0,26.4,48.3,78,30,29, 0x0
11/20/2021,18:15:13,16,1,30.30305,-89.08359,2.71,89.2,86.3,49.1,1,124,1000,1,107,1000,26.3,49.2,78,29,32, 0x0,26.4,48.6,78,30,30, 0x0
11/20/2021,18:15:14,16,1,30.30304,-89.08357,3.12,91.1,96.6,49.1,1,65,1000,1,68,1000,26.4,45.3,78,30,32, 0x0,26.4,48.6,78,30,29, 0x0
11/20/2021,18:15:15,16,1,30.30304,-89.08356,3.96,91.7,95.4,49.1,1,-5,974,1,-6,974,26.3,52.5,78,30,33, 0x0,26.4,51.4,78,31,30, 0x0
11/20/2021,18:15:16,16,1,30.30304,-89.08354,3.52,89.1,89.2,49.1,1,-9,1000,1,-14,1000,26.4,49.6,78,30,33, 0x0,26.3,52.6,78,31,30, 0x0
11/20/2021,18:15:17,16,1,30.30304,-89.08352,3.93,87.1,88.3,49.1,1,73,1000,1,68,1000,26.3,50.9,78,31,34, 0x0,26.4,52.5,78,31,30, 0x0
11/20/2021,18:15:18,16,0.9,30.30304,-89.0835,3.82,85.8,91.5,49.1,1,100,1000,1,107,1000,26.3,52.6,78,31,34, 0x0,26.4,52.7,78,32,30, 0x0
11/20/2021,18:15:19,16,0.9,30.30304,-89.08348,4.02,85.4,91,49.1,1,167,1000,1,174,1000,26.3,52.4,78,31,34, 0x0,26.3,52.6,78,32,31, 0x0
11/20/2021,18:15:20,16,0.9,30.30304,-89.08346,3.51,85.1,84.5,49.1,1,214,1000,1,209,1000,26.3,52.4,78,32,34, 0x0,26.3,55,78,32,31, 0x0
11/20/2021,18:15:21,16,0.9,30.30305,-89.08345,3.69,86.1,86.5,49.1,1,276,1000,1,272,1000,26.3,50.7,78,32,35, 0x0,26.3,51.7,78,33,31, 0x0
11/20/2021,18:15:23,16,0.9,30.30305,-89.08343,2.85,88.3,80.6,49.1,1,308,1000,1,307,1000,26.3,51.1,78,32,35, 0x0,26.3,52.6,78,33,31, 0x0
11/20/2021,18:15:24,16,0.9,30.30305,-89.08341,3.7,90.7,89.1,49.1,1,316,1000,1,311,1000,26.3,49.8,78,33,35, 0x0,26.4,52.7,78,33,32, 0x0
11/20/2021,18:15:25,16,0.9,30.30305,-89.08339,3.41,93,89.2,49,1,284,1000,1,283,1000,26.3,53.9,78,33,35, 0x0,26.3,53.5,78,34,31, 0x0
11/20/2021,18:15:26,16,0.9,30.30305,-89.08337,4.05,95.3,91.1,49.1,1,206,994,1,209,994,26.3,52.4,78,34,36, 0x0,26.4,52.3,78,34,32, 0x0
11/20/2021,18:15:27,16,0.9,30.30305,-89.08335,3.08,97.9,97.8,49.1,1,112,1000,1,103,1000,26.3,50.3,78,34,36, 0x0,26.3,51.6,78,34,32, 0x0
11/20/2021,18:15:28,16,0.9,30.30304,-89.08333,3.34,98.9,94.5,49.1,1,53,1000,1,41,1000,26.3,50.9,78,34,36, 0x0,26.4,52.4,78,35,32, 0x0
11/20/2021,18:15:29,16,0.9,30.30304,-89.08331,3.75,97.3,100.4,49.1,1,22,1000,1,13,1000,26.2,54,78,35,37, 0x0,26.3,53.3,78,35,32, 0x0
11/20/2021,18:15:30,16,0.9,30.30303,-89.0833,3.65,96.1,102.3,49.1,1,-17,1000,1,-10,1000,26.3,52.6,78,35,36, 0x0,26.3,53.7,78,35,32, 0x0
11/20/2021,18:15:31,16,0.9,30.30303,-89.08328,3.47,93.9,101.9,49.1,1,-21,1000,1,-30,1000,26.3,52.9,78,35,37, 0x0,26.3,51,78,36,33, 0x0
11/20/2021,18:15:32,16,0.9,30.30303,-89.08326,3.92,92.1,93.5,49.1,1,-21,1000,1,-26,1000,26.3,49.1,78,36,37, 0x0,26.4,49.5,78,36,33, 0x0
